deltaTime	endTimeStep
3600		43800
Timestep	Temperature
1	-5.30386164975695
2	-5.30688727473197
3	-5.30992269973691
4	-5.31296786257976
5	-5.31602270064835
6	-5.31908715091139
7	-5.32216114991942
8	-5.32524463380579
9	-5.32833753828775
10	-5.33143979866737
11	-5.33455134983269
12	-5.33767212625865
13	-5.34080206200827
14	-5.34394109073366
15	-5.34708914567713
16	-5.35024615967234
17	-5.35341206514538
18	-5.35658679411594
19	-5.35977027819847
20	-5.36296244860331
21	-5.36616323613794
22	-5.36937257120817
23	-5.37259038381938
24	-5.37581660357783
25	-5.37905115969192
26	-5.38229398097352
27	-5.38554499583927
28	-5.38880413231200
29	-5.39207131802203
30	-5.39534648020869
31	-5.39862954572163
32	-5.40192044102234
33	-5.40521909218553
34	-5.40852542490067
35	-5.41183936447343
36	-5.41516083582724
37	-5.41848976350479
38	-5.42182607166952
39	-5.42516968410724
40	-5.42852052422762
41	-5.43187851506582
42	-5.43524357928410
43	-5.43861563917342
44	-5.44199461665516
45	-5.44538043328276
46	-5.44877301024338
47	-5.45217226835964
48	-5.45557812809130
49	-5.45899050953702
50	-5.46240933243609
51	-5.46583451617018
52	-5.46926597976513
53	-5.47270364189273
54	-5.47614742087253
55	-5.47959723467376
56	-5.48305300091714
57	-5.48651463687684
58	-5.48998205948241
59	-5.49345518532070
60	-5.49693393063787
61	-5.50041821134139
62	-5.50390794300205
63	-5.50740304085605
64	-5.51090341980709
65	-5.51440899442850
66	-5.51791967896533
67	-5.52143538733654
68	-5.52495603313718
69	-5.52848152964059
70	-5.53201178980064
71	-5.53554672625394
72	-5.53908625132212
73	-5.54263027701408
74	-5.54617871502834
75	-5.54973147675531
76	-5.55328847327968
77	-5.55684961538274
78	-5.56041481354472
79	-5.56398397794719
80	-5.56755701847544
81	-5.57113384472095
82	-5.57471436598383
83	-5.57829849127527
84	-5.58188612932005
85	-5.58547718855905
86	-5.58907157715171
87	-5.59266920297865
88	-5.59626997364414
89	-5.59987379647867
90	-5.60348057854152
